samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.latitude,samplingPoint.longitude,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,MATCH_CONFIDENCE,DISCHARGE_SITE_NAME,DISCHARGE_NGR,DISCHARGE_LATITUDE,DISCHARGE_LONGITUDE,DISCHARGE_EASTING,DISCHARGE_NORTHING,PERMIT_NUMBER,PERMIT_VERSION
SW-RSN1389,RSN1389 MILL HOUSE,50.7931,-2.3153,377872.99077737343,99329.019684206,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,100.0,MILL HOUSE,SY7790899261,50.79248967559791,-2.3147991819948412,377908.0,99261.0,EPRXB3136AW,1.0
SW-50440180,MILBORNE ST ANDREW WTW,50.7837,-2.2805,380321.8331375791,98273.82350769595,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,TRADE DISCHARGES - PROCESS EFFLUENT - WATER COMPANY (WTW),100.0,MILBORNE ST ANDREW WTW,SY8037698281,50.7837663759209,-2.2797320310365827,380376.0,98281.0,EPRYB3197RR,2.0
SW-C7019001,WARMWELL WATERCRESS FARM D,50.6845,-2.3562,374932.060788876,87265.6262538479,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,100.0,WARMWELL WATERCRESS FARM,SY7492087270,50.68453880370227,-2.3563710042332366,374920.0,87270.0,401056,2.0
SW-50570160,WADDOCK CROSS WATERCRESS C3,50.7164,-2.2885,379728.6465789269,90792.10330777636,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,94.11764705882354,WADDOCK CROSS WATERCRESS BEDS,SY7980190850,50.71692316806522,-2.287478332817266,379801.0,90850.0,400114/CF/01,2.0
SW-50440194,MILBORNE ST ANDREW STW FE BERE STREAM,50.7694,-2.2802,380336.95208960143,96683.5477493962,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,90.47619047619048,MILBORNE ST. ANDREW STW,SY8038096680,50.76936955792474,-2.2795893609911113,380380.0,96680.0,042116,4.0
SW-50520131,TOLLER PORCORUM STW  MAIDEN NEWTON,50.7801,-2.6167,356617.4169561333,98017.35714016092,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,88.23529411764706,TOLLER PORCORUM WRC,SY5662398014,50.78007022600477,-2.616620407641796,356623.0,98014.0,400607,7.0
SW-50900956,HARMANS CROSS SEWAGE TREATMENT WORKS  SWANAGE,50.626,-2.0367,397500.3293412698,80700.44613382261,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,86.66666666666667,HARMANS CROSS STW,SY9750080700,50.62599598122418,-2.0367046418097834,397500.0,80700.0,040111,4.0
SW-50951085,SHERFORD AT SNAILS BRIDGE US BLACKHEATH,50.7398,-2.1436,389963.4205756802,93364.33045797276,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,80.0,BLACKHEATH WWTW,SY8995093350,50.73967089174444,-2.1437897847097656,389950.0,93350.0,042451,8.0
SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,50.7691,-2.2807,380301.5659997132,96650.3208601829,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,78.94736842105263,MILBORNE ST. ANDREW STW,SY8038096680,50.76936955792474,-2.2795893609911113,380380.0,96680.0,042116,4.0
SW-50440170,ROKE CRESS NORTH HOLLYBUSH BERE REGIS,50.7613,-2.2322,383719.02220970776,95771.07234557543,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,78.26086956521739,HOLLYBUSH FARM,SY8373095860,50.76209998973564,-2.232048305003962,383730.0,95860.0,043233,2.0
SW-50410119,PUDDLETOWN STW FE,50.7536,-2.3543,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,74.07407407407408,PUDDLETOWN SEWAGE TREATMENT WORKS,SY7505094950,50.753606817976454,-2.3550527199327598,375050.0,94950.0,402100,4.0
SW-50510190,EVERSHOT STW FE,50.8373,-2.6005,357811.24236673536,104368.71638894198,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,69.56521739130434,EVERSHOT WASTEWATER TREATMENT WORKS,ST5779204397,50.837552913853216,-2.600776504890822,357792.0,104397.0,042453,6.0
SW-50450129,RIVER PIDDLE AT WEST MILLS WAREHAM,50.6882,-2.1241,391329.7661575511,87623.83943089607,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - RIVERS,68.9655172413793,FLAT 1-3 WEST MILLS,SY9134087580,50.68780591436736,-2.123954076950737,391340.0,87580.0,040145,2.0
SW-50450150,EIGHT HATCH FISH FARM INLET,50.6931,-2.1502,389487.1465896629,88172.14570979451,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - COMPARATIVE INLET POINTS,66.66666666666666,EIGHT HATCH PLANTATION,SY8953088180,50.693171407366115,-2.149593515587729,389530.0,88180.0,041519,1.0
SW-50530190,MAIDEN NEWTON STW  DORCHESTER,50.7735,-2.5623,360447.147149014,97252.84042899687,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,63.492063492063494,MAIDEN NEWTON WATER RECYCLING CENTR,SY6045497257,50.7735378669719,-2.562203256425371,360454.0,97257.0,041353,6.0
SW-50590144,EAST STOKE FINAL  WAREHAM,50.6823,-2.1745,387767.9183658119,86974.94486771678,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,59.64912280701754,EAST STOKE SEWAGE TREATMENT WORKS,SY8778086970,50.682255783342974,-2.1743288173489024,387780.0,86970.0,040109,2.0
SW-50540170,SYDLING WATER U/S HUISH TROUT FARM,50.7885,-2.5221,363293.5160721587,98900.07907017024,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,FRESHWATER - COMPARATIVE INLET POINTS,52.17391304347826,SYDLING ST NICHOLAS PUMPING STATION,SY6322998910,50.78858510390128,-2.5230161958075343,363229.0,98910.0,401196,2.0
