samplingPoint.notation,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER
SW-81919915,303016,1,1,1
SW-60010004,103353,1,1,1
SW-60226300,103147,1,1,1
SW-70614685,NRA-SW-2224,4,1,1
SW-70217980,NRA-SW-6784,2,1,1
SW-81219911,303435,1,1,1
SW-70422640,203630,1,1,1
SW-70510402,203828,1,1,1
SW-70712892,203784,1,1,1
SW-70920133,203299,2,1,1
SW-E4330019,102410,1,1,1
SW-73011323,203312,1,1,1
SW-72922737,200355/FN/01,2,1,1
SW-70522602,203587,1,1,1
SW-70520007,202560,2,1,1
SW-72933722,200364/FN/01,2,1,1
SW-70720812,200357/FN/01,2,1,1
SW-81229902,302930,1,1,1
SW-Z1450105,101886,2,1,1
SW-73010354,002491/FU/01,9,1,1
SW-60220012,102084,1,1,1
SW-50210465,401643,1,1,1
SW-73010023,203287,1,1,1
SW-70620448,203338,1,1,1
SW-50230742,401861,1,1,1
SW-73010408,203282,1,1,1
SW-Z1430100,100984,1,1,1
SW-50240544,400921,1,1,1
SW-60060001,102791,1,1,1
SW-Z9370105,010047,2,1,1
SW-70510450,202475,3,1,1
SW-70812669,203442,4,1,1
SW-72910343,202669,2,1,1
SW-70111020,202394,2,1,1
SW-82611152,SWWA 200,3,1,1
SW-82610136,CRA 1,3,1,1
SW-70810023,203805,1,1,1
SW-60220019,103658,1,1,1
SW-81917809,SWWA 135,2,1,1
SW-50210019,402294,1,1,1
SW-72912756,203010,1,1,1
SW-81919911,303010,1,1,1
SW-70610324,203346,1,1,1
SW-63330001,103717,1,1,1
SW-50590136,402228,1,1,1
SW-70230023,203744,1,1,1
SW-Z1010702,102362,1,1,1
SW-70614849,202570,2,1,1
SW-Z4170103,102713,1,1,1
SW-63111500,102716,1,1,1
SW-82610009,303078,1,1,1
SW-Z1011505,102718,1,1,1
SW-72912959,203909,1,1,1
SW-70580010,203880,1,1,1
SW-E7080020,103586,1,1,1
SW-70220650,NRA-SW-2877,2,1,1
SW-70514504,003174/FU/02,3,1,1
SW-73060256,SWWA 206,2,1,1
SW-70221296,200366/FN/02,2,1,1
SW-70640006,203920,1,A,B
SW-81201140,303641,1,1,1
SW-Z2030510,102228,1,1,1
SW-81950512,NRA-SW-7825,2,1,1
SW-81223754,NRA-SW-0227,3,1,1
SW-50250281,402460,2,1,1
SW-50340052,402151,3,1,1
SW-B0040113,102159,2,4,1
SW-70820007,203140,1,1,1
SW-70512748,202848,1,1,1
SW-81232703,15/47/41/P/5,2,1,1
SW-50331084,040037,2,2,1
SW-50340340,040086,2,1,1
SW-50210530,041321,2,1,1
SW-A4070108,010024,2,1,1
SW-63090003,103352,1,1,1
SW-70610024,203090,1,1,1
SW-C7022001,401057,1,2,1
SW-73010354,002491/FU/01,10,1,1
SW-50370695,401700,2,1,1
SW-81112293,303247,1,1,1
SW-E1000089,070379,2,1,1
SW-70630014,203665,1,1,1
SW-63060014,103279,1,1,1
SW-60010005,071574,3,1,1
SW-82311346,302457,2,1,1
SW-81020112,300436/FN/01,2,1,1
SW-70815223,NRA-SW-6082,2,1,1
SW-70721478,NRA-SW-7808,2,1,1
SW-81420271,NRA-SW-3789,3,1,1
SW-82513322,NRA-SW-3676,2,1,1
SW-60110135,102594,1,2,1
SW-70512980,203214,1,1,1
SW-81272507,SWWA 581,2,1,1
SW-70220171,DRA 1559,2,1,1
SW-70420177,NRA-SW-3706,2,1,1
SW-81922269,302707,2,1,1
SW-70531084,NRA-SW-3505,3,1,1
SW-50260511,401382,2,1,1
SW-50341919,042383,3,1,1
SW-81011046,032738/FN/02,5,1,1
SW-81281126,15/47/9/P/6,2,1,1
SW-81011046,032738/FN/02,2,1,1
SW-81020112,300436/FN/01,3,1,1
SW-50240368,041613,2,1,1
SW-50510190,042453,2,1,1
SW-50510192,042453,2,2,1
SW-91221195,303734,1,1,1
SW-73030207,NPSWQD000550,1,1,1
SW-82514109,302997,1,1,1
SW-E7030019,070038,2,1,1
SW-Z1510103,010041,2,1,1
SW-E3110031,070154,2,2,1
SW-E2040019,070053,2,1,1
SW-E2040011,070053,2,1,2
SW-A2270303,010059,2,1,1
SW-60031911,070087,2,1,1
SW-E0910020,100318,2,1,1
SW-A3200205,010080,2,1,1
SW-A3200244,010080,2,1,2
SW-50330050,401659,1,1,1
SW-82528028,NRA-SW-4018,4,1,1
SW-E4030019,102195,1,1,1
SW-70610026,203096,1,1,1
SW-70813169,203417,2,1,1
SW-50510146,401996,1,1,1
SW-70530060,203535,3,1,1
SW-50330344,401961,1,1,2
SW-82410007,303510,1,1,1
SW-70593893,203846,1,1,1
SW-E8900039,102350,1,1,1
SW-61400002,103122,1,1,1
SW-70501359,203478,1,1,1
SW-81270005,303303,1,1,1
SW-72920157,203792,1,1,1
SW-81232701,15/47/41/P/5,3,1,1
SW-D1002900,401739,2,1,1
SW-60260012,103064,1,1,1
SW-60030047,101432,1,1,2
SW-61200005,103436,1,1,1
SW-82310127,300705,5,1,1
SW-81910031,303585,1,1,1
SW-70534925,203109,2,1,1
SW-A4070108,010024,4,1,1
SW-82528133,15/49/281/P/16,5,1,1
SW-70630192,NRA-SW-6984,5,1,1
SW-B3160103,010029,4,1,1
SW-81281989,002027,4,1,1
SW-E2030029,102390,3,1,1
SW-E7030019,070038,4,1,1
SW-E4150029,071196,4,1,1
SW-A4070439,011348,4,1,1
SW-81251886,NRA-SW-3402,4,1,1
SW-E7070019,071901,3,1,1
SW-Z8480205,102943,2,1,1
SW-50900722,041324,4,1,1
SW-D1001900,040022,3,1,1
SW-A0360102,010032,3,1,1
SW-70921066,DRA 1456,4,1,1
SW-81520140,NPSWQD002976,1,1,1
SW-B3150102,103185,2,1,1
SW-60032867,102152,2,1,1
SW-E2030051,071853,3,2,1
SW-70812669,203442,9,1,1
SW-73021857,NRA-SW-7809,4,1,1
SW-70632330,NRA-SW-6620,4,1,1
SW-73015023,201127,7,1,1
SW-70531275,NRA-SW-3570,5,1,1
SW-70630289,DRA 1196,6,1,1
SW-50340503,401339,2,1,2
SW-70712263,NRA-SW-5295,5,1,1
SW-70711743,203562,4,1,1
SW-82513275,EPRDP3920GH,1,1,1
SW-A3190205,102988,2,1,1
SW-D1036900,042479,5,1,1
