EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,SPT_DESC,EFF_SAMPLE_POINT,EFF_TMEN_CODE,TMEN_DESC,DWF (m3_d),MAX_DAILY (m3_d),MEAN (m3_d),MAX_RATE (l_s),samplingPoint.notation
SW,EA South West Region,071978,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,60030364,01,BIOLOGICAL FILTRATION,553.0,,,,SW-60030364
SW,EA South West Region,203812,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70641031,01,BIOLOGICAL FILTRATION,3563.0,,,,SW-70641031
SW,EA South West Region,101328,4,2,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Z8480219,01,BIOLOGICAL FILTRATION,3400.0,,,,SW-Z8480219
SW,EA South West Region,400673,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50704490,02,HIGH RATE BIOLOGICAL,8050.0,,,,SW-50704490
SW,EA South West Region,010024,4,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,A4070131,12,MACERATION,,,,,SW-A4070131
SW,EA South West Region,041324,5,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50900722,01,BIOLOGICAL FILTRATION,370.0,,,,SW-50900722
SW,EA South West Region,NRA-SW-3469,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,70630272,29,PACKAGE TREATMENT PLANT,,42.0,,,SW-70630272
SW,EA South West Region,DRA 159,6,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,73050121,01,BIOLOGICAL FILTRATION,341.0,,,,SW-73050121
SW,EA South West Region,302530,5,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,81519903,11,SCREENING,,,,,SW-81519903
SW,EA South West Region,010031,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Z5012901,01,BIOLOGICAL FILTRATION,140.0,,,,SW-Z5012901
SW,EA South West Region,072317,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E2160019,01,BIOLOGICAL FILTRATION,80.0,,,,SW-E2160019
SW,EA South West Region,071196,4,1,3,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,E4150021,11,SCREENING,,,,,SW-E4150021
SW,EA South West Region,042116,2,1,2,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50440001,11,SCREENING,423.0,,,,SW-50440001
SW,EA South West Region,040070,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50410119,01,BIOLOGICAL FILTRATION,140.0,,,,SW-50410119
SW,EA South West Region,070005,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E8100009,01,BIOLOGICAL FILTRATION,425.0,,,,SW-E8100009
SW,EA South West Region,010032,2,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,A0360117,12,MACERATION,,,,,SW-A0360117
SW,EA South West Region,072317,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E2160019,01,BIOLOGICAL FILTRATION,80.0,,,,SW-E2160019
