"COMPANY_NAME","DISCHARGE_SITE_NAME","DISCHARGE_SITE_TYPE_CODE","DSI_TYPE_DESCRIPTION","ADD_OF_DISCHARGE_SITE_LINE_1","ADD_OF_DISCHARGE_SITE_LINE_2","ADD_OF_DISCHARGE_SITE_LINE_3","ADD_OF_DISCHARGE_SITE_LINE_4","ADD_OF_DISCHARGE_SITE_PCODE","DISTRICT_COUNCIL","DISCHARGE_NGR","CATC_NAME","CATCHMENT_CODE","EA_REGION","SOURCE","PERMIT_NUMBER","PERMIT_VERSION","RECEIVING_WATER","RECEIVING_ENVIRON_TYPE_CODE","REC_ENV_CODE_DESCRIPTION","ISSUED_DATE","EFFECTIVE_DATE","REVOCATION_DATE","STATUS_OF_PERMIT","STATUS_DESCRIPTION","OUTLET_NUMBER","OUTLET_TYPE_CODE","OUTLET_TYPE_DESCRIPTION","OUTLET_GRID_REF","EFFLUENT_NUMBER","EFFLUENT_TYPE","EFF_TYPE_DESCRIPTION","EFFLUENT_GRID_REF","geometry"
"THE LORD KG DIGBY","MANOR FARM (MINTERNE MAGNA)","01","Farms (not house)/Crop + Animal Rearing/Plant Nursery","MINTERNE","DORCHESTER","DORSET","","","DORSET UA","ST6580004400","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","050165","1","","","","","05/07/63 00:00:00","04/07/94 00:00:00","K7","REVOKED - UNSPECIFIED","1","T","Trade","ST6580004400","1","AA","AGRICULTURE - ARABLE FARMING","ST6580004400","POINT (365800 104400)"
"WESSEX WATER SERVICES LIMITED","EVERSHOT COMBINED SEWER OVERFLOW","A3","Storm Tank/CSO on Sewerage Network (water company)","(OPP) BURROWBRIDGE COTTAGE","THE COMMON","EVERSHOT","DORSET","DT2 0JY","DORSET UA","ST5762204621","FROME ABOVE RIVER HOOKE","44/51-","SW","EA South West Region","041208","1","RIVER FROME","1.0","Freshwater river","","09/12/89 00:00:00","02/07/94 00:00:00","F1","1961 R(PP)A APPLICATION REFUSED","1","T","Trade","ST5762004620","1","TA","TRADE DISCHARGES - PROCESS EFFLUENT - WATER COMPANY (WTW)","ST5762004620","POINT (357622 104621)"
"LUTHER, F. G.","HILL FARM(POOLE)","01","Farms (not house)/Crop + Animal Rearing/Plant Nursery","LYTCHETT MINSTER","POOLE","DORSET","","","DORSET UA","SY9540093050","HOLES BAY","44/95-","SW","EA South West Region","051232","1","","1.0","Freshwater river","","07/03/74 00:00:00","03/05/26 00:00:00","E8","SURRENDERED UNDER EPR 2010","1","T","Trade","SY9530093100","1","AA","AGRICULTURE - ARABLE FARMING","SY9530093100","POINT (395400 93050)"
"WESSEX WATER SERVICES LIMITED","35 KINGS ROAD","A3","Storm Tank/CSO on Sewerage Network (water company)","DORCHESTER","","","DORSET","DT1 1NL","DORSET UA","SY6983890172","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","400689","2","(S) MILL STREAM","1.0","Freshwater river","06/29/99 00:00:00","03/31/02 00:00:00","03/30/17 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","S","Sewage - water company","SY7012290514","1","SC","SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY","SY7012290514","POINT (369838 90172)"
"WESSEX WATER SERVICES LIMITED","HOLBAEK CLOSE","A4","Pumping Station on Sewerage Network (water company)","27 HOLBAEK CLOSE","DORCHESTER","","DORSET","DT1 2SH","DORSET UA","SY6988789423","SOUTH WINTERBOURNE","44/56-","SW","EA South West Region","400692","1","SOAKAWAY ON SITE","3.0","Into land / infiltration system","12/21/00 00:00:00","12/21/00 00:00:00","06/08/16 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","S","Sewage - water company","SY6985089400","1","SC","SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY","SY6985089400","POINT (369887 89423)"
"THE WATERCRESS COMPANY LIMITED.","BROCKHILL WATERCRESS FARM","03","Fish + Aquaculture/Fish Farm/Cress Farm","TURNERS PUDDLE","WAREHAM","","DORSET","BH20 7NH","DORSET UA","SY8369092820","PIDDLE-DV'LS BK-BERE STRM","44/43-","SW","EA South West Region","401058","1","RIVER PIDDLE","1.0","Freshwater river","07/24/02 00:00:00","07/24/02 00:00:00","09/14/11 00:00:00","E5","CONSENTS WITHOUT APPLICATION (WRA 91, SCHED 10)","2","A","Agriculture","SY8374092930","1","AD","AGRICULTURE - WATER CRESS FARMING","SY8374092930","POINT (383690 92820)"
"MR N HADDON-PATON","HIGHER HOLWAY FARM","A0","Domestic property (single) (incl farm house)","CATTISTOCK","MAIDEN NEWTON","DORSET",".","DT2 0HH","DORSET UA","ST5823001660","FROME ABOVE RIVER HOOKE","44/51-","SW","EA South West Region","401410","1","SOAKAWAY","3.0","Into land / infiltration system","11/12/02 00:00:00","11/12/02 00:00:00","12/16/12 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","1","U","Sewage - not water company","ST5872001670","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","ST5872001670","POINT (358230 101660)"
"MR & MRS P BENNETT","THE BRACE OF PHEASANTS","56","Food+Beverage Services/Cafe/Restaurant/Pub","PLUSH","DORCHESTER","DORSET","","DT2 7RQ","DORSET UA","ST7144002180","PIDDLE TO DEVILS BROOK","44/41-","SW","EA South West Region","402235","1","SOAKAWAY(G)","3.0","Into land / infiltration system","06/26/07 00:00:00","06/26/07 00:00:00","03/18/13 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","Y","Sewage and Trade combined","ST7144002190","1","YZ","SEWAGE & TRADE COMBINED - UNSPECIFIED","ST7144002190","POINT (371440 102180)"
"WESSEX WATER SERVICES LIMITED","BROADMAYNE WWTW","A2","WwTW/Sewage Treatment Works (water company)","WATERGATES LANE","BROADMAYNE","DORCHESTER","DORSET","DT2 8HA","DORSET UA","SY7338786831","TADNOLL BROOK/EMPOOL STRM","44/58-","SW","EA South West Region","040725","2","TADNOLL BROOK","1.0","Freshwater river","05/26/89 00:00:00","03/30/06 00:00:00","03/31/09 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","2","S","Sewage - water company","SY7341086760","1","SB","SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY","SY7339086800","POINT (373387 86831)"
"WESSEX WATER SERVICES LIMITED","MILBORNE ST. ANDREW STW","A2","WwTW/Sewage Treatment Works (water company)","SNAG LANE","-","MILBORNE ST.ANDREW","DORSET","DT11 0JS","DORSET UA","SY8038096680","BERE STREAM","44/44-","SW","EA South West Region","042116","2","BERE STREAM(S)","1.0","Freshwater river","06/24/92 00:00:00","03/30/06 00:00:00","03/31/09 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","S","Sewage - water company","SY8025096490","2","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY8036096710","POINT (380380 96680)"
"WESSEX WATER SERVICES LIMITED","PIDDLEHINTON STW","A2","WwTW/Sewage Treatment Works (water company)","-","PIDDLEHINTON","","DORSET","DT2 7SZ","DORSET UA","SY7220096400","PIDDLE TO DEVILS BROOK","44/41-","SW","EA South West Region","040067","2","RIVER PIDDLE(S)","1.0","Freshwater river","08/08/85 00:00:00","03/30/06 00:00:00","03/31/09 00:00:00","R4","REVISED BY APPLICATION, GRANTED BY SEC.OF STATE -SEC 35","1","S","Sewage - water company","SY7217096310","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY7216096320","POINT (372200 96400)"
"WESSEX WATER SERVICES LIMITED","PUDDLETOWN SEWAGE TREATMENT WORKS","A2","WwTW/Sewage Treatment Works (water company)","PUDDLETOWN SEWAGE TREATMENT WRKS","DRUCE LANE","PUDDLETOWN","DORSET","DT2 8GE","DORSET UA","SY7505094950","PIDDLE TO DEVILS BROOK","44/41-","SW","EA South West Region","040070","2","RIVER PIDDLE (S)","1.0","Freshwater river","08/08/85 00:00:00","03/30/06 00:00:00","07/12/06 00:00:00","K7","REVOKED - UNSPECIFIED","1","S","Sewage - water company","SY7506094910","2","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY7509094960","POINT (375050 94950)"
"WESSEX WATER SERVICES LIMITED","HALVES COTTAGE PUMPING STATION","A4","Pumping Station on Sewerage Network (water company)","HALVES COTTAGES","CORFE CASTLE","","DORSET","BH20 5EY","DORSET UA","SY9622081320","POOLE HARBR/CORFE/SHERFD","44/90-","SW","EA South West Region","401428","1","A TRIBUTARY OF THE CORFE RIVER","1.0","Freshwater river","10/29/07 00:00:00","10/29/07 00:00:00","09/29/20 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","S","Sewage - water company","SY9621081340","1","SD","SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY","SY9621081340","POINT (396220 81320)"
"WESSEX WATER SERVICES LIMITED","WARMWELL LEISURE RESORT PS","A4","Pumping Station on Sewerage Network (water company)","WARMWELL","DORCHESTER",".","DORSET","BT2 8JE","DORSET UA","SY7630087640","TADNOLL BROOK/EMPOOL STRM","44/58-","SW","EA South West Region","401561","1","TADNOLL BROOK (S)","1.0","Freshwater river","08/02/04 00:00:00","08/02/04 00:00:00","05/12/22 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","S","Sewage - water company","SY7616087440","1","SD","SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY","SY7611087560","POINT (376300 87640)"
"WESSEX WATER SERVICES LIMITED","MAIDEN NEWTON WATER RECYCLING CENTR","A2","WwTW/Sewage Treatment Works (water company)","MAIDEN NEWTON","DORCHESTER","","DORSET","DT2 0AY","DORSET UA","SY6045497257","FROME,HOOKE-SYDLING WATER","44/53-","SW","EA South West Region","041353","3","DORSET FROME (S)","1.0","Freshwater river","10/14/08 00:00:00","04/01/09 00:00:00","03/30/10 00:00:00","S1","BY DIRECT. OF SEC OF STATE, (WATER ACT 1989 SCHED 26 & 25(4)(5))","1","S","Sewage - water company","SY6028097160","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY6045097250","POINT (360454 97257)"
"MRS ELIZABETH NELSON","MONYMUSK STUD","A1","Domestic property (multiple) (incl farm houses)","WHITCOMBE DOWN ROAD","WHITCOMBE","DORCHESTER","DORSET","DT2 8NY","DORSET UA","SY7141987634","TADNOLL BROOK/EMPOOL STRM","44/58-","SW","EA South West Region","NPSWQD008555","1","GW VIA SOAKAWAY","3.0","Into land / infiltration system","11/17/09 00:00:00","11/17/09 00:00:00","04/03/20 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","U","Sewage - not water company","SY7140787598","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY7140987604","POINT (371419 87634)"
"WESSEX WATER SERVICES LIMITED","19 DWELLINGS AT STINSFORD HOUSE","A2","WwTW/Sewage Treatment Works (water company)","CHURCH LAND, STINSFORD","NEAR DORCHESTER","","DORSET","DT2 8XW","DORSET UA","SY7114091080","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","400139/PW/01","2","RIVER FROME","1.0","Freshwater river","09/25/09 00:00:00","01/01/10 00:00:00","04/05/11 00:00:00","E0","MODIFIED - (WRA 91 SCHED 10 - AS AMENDED BY ENV ACT 1995)","1","S","Sewage - water company","SY7099090800","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY7106091000","POINT (371140 91080)"
"WESSEX WATER SERVICES LIMITED","BLACKHEATH WWTW","A2","WwTW/Sewage Treatment Works (water company)","BLOXWORTH","WAREHAM","","DORSET","BH20 7EJ","DORSET UA","SY8995093350","HOLES BAY","44/95-","SW","EA South West Region","042451","5","SHERFORD RIVER","1.0","Freshwater river","09/20/18 00:00:00","09/20/18 00:00:00","01/05/22 00:00:00","E7","VARIED UNDER EPR 2010","1","S","Sewage - water company","SY9094392658","2","SB","SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY","SY8977493251","POINT (389950 93350)"
"WEYMOUTH AND SHERBORNE RECYCLING","LOUDS MILL CIVIC AMENITY","38","Waste Collection/Treatment/Disposal/Materials Recovery","COMPOUND","LOUDS MILL","ST GEORGES ROAD","DORCHESTER, DORSET","DT1 1PE","DORSET UA","SY7115090220","SOUTH WINTERBOURNE","44/56-","SW","EA South West Region","041328","2","SOAKAWAY","3.0","Into land / infiltration system","12/17/12 00:00:00","12/17/12 00:00:00","03/04/16 00:00:00","E9","REVOKED UNDER EPR 2010","1","T","Trade","SY7112090210","1","DE","MISCELLANEOUS DISCHARGES - SURFACE WATER","SY7111090210","POINT (371150 90220)"
"MR J H W HURD AND MRS A M HURD","LOWER MAGISTON WATERCRESS FARM","03","Fish + Aquaculture/Fish Farm/Cress Farm","SYDLING ST NICHOLAS","DORCHESTER","","DORSET","DT2 9NR","DORSET UA","SY6348096120","SYDLING WATER","44/54-","SW","EA South West Region","401223","2","SYDLING WATER","15.0","Into land then to watercourse","09/15/11 00:00:00","09/15/11 00:00:00","02/03/16 00:00:00","E7","VARIED UNDER EPR 2010","1","A","Agriculture","SY6355096030","1","AD","AGRICULTURE - WATER CRESS FARMING","SY6356096200","POINT (363480 96120)"
"MR SIMON CLABBURN","2&3 MANOR FARM COTTAGES SEPTIC TANK","A1","Domestic property (multiple) (incl farm houses)","LOWER WATERSTON","WATERSTON LANE","","DORSET","DT2 7SS","DORSET UA","SY7377795127","","","SW","EA South West Region","EPRQB3694NF","1","GROUNDWATER","3.0","Into land / infiltration system","06/25/20 00:00:00","06/25/20 00:00:00","04/16/23 00:00:00","E6","NEW ISSUED UNDER EPR 2010","1","U","Sewage - not water company","SY7377895167","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY7377995114","POINT (373777 95127)"
"IMERYS MINERALS LIMITED","DOREYS BALL CLAY WORKS","38","Waste Collection/Treatment/Disposal/Materials Recovery","NEW HALL FARM","GRANGE ROAD, EAST HOLME","WAREHAM","DORSET","BH20 5DH","DORSET UA","SY9098185475","","","SW","EA South West Region","EPRBB3593EG","1","TOLL BAR STREAM","1.0","Freshwater river","05/19/15 00:00:00","05/19/15 00:00:00","04/09/17 00:00:00","E6","NEW ISSUED UNDER EPR 2010","1","T","Trade","SY9137084538","1","TG","TRADE DISCHARGES - MINERAL WORKINGS","SY9137084538","POINT (390981 85475)"
"WESSEX WATER SERVICES LIMITED","BLACKHEATH WWTW","A2","WwTW/Sewage Treatment Works (water company)","BLOXWORTH","WAREHAM","","DORSET","BH20 7EJ","DORSET UA","SY8995093350","HOLES BAY","44/95-","SW","EA South West Region","042451","7","SHERFORD RIVER","1.0","Freshwater river","01/06/22 00:00:00","03/31/22 00:00:00","03/30/26 00:00:00","E7","VARIED UNDER EPR 2010","2b","S","Sewage - water company","SY9093392599","2","SB","SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY","SY8977493251","POINT (389950 93350)"
"WESSEX WATER SERVICES LIMITED","GLEBE FARM PUMPING STATION","A4","Pumping Station on Sewerage Network (water company)","CORFE ROAD","BUCKNOWLE","WAREHAM","DORSET","BH20 5NS","DORSET UA","SY9509081660","POOLE HARBR/CORFE/SHERFD","44/90-","SW","EA South West Region","401417","2","TRIBUTARY OF CORFE RIVER","1.0","Freshwater river","01/22/21 00:00:00","01/22/21 00:00:00","09/29/21 00:00:00","E7","VARIED UNDER EPR 2010","1","S","Sewage - water company","SY9506581663","2","SD","SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY","SY9508681662","POINT (395090 81660)"
"WESSEX WATER SERVICES LIMITED","CERNE ABBAS STW","A2","WwTW/Sewage Treatment Works (water company)","SEWAGE TREATMENT WORKS","","","DORSET","DT2 7JS","DORSET UA","SY6633099990","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","040015","6","RIVER CERNE (S)","1.0","Freshwater river","01/20/22 00:00:00","01/20/22 00:00:00","03/29/22 00:00:00","E7","VARIED UNDER EPR 2010","1","S","Sewage - water company","SY6675199843","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY6657099960","POINT (366330 99990)"
"WESSEX WATER SERVICES LIMITED","DUNCAN CRESCENT PUMPING STATION","A4","Pumping Station on Sewerage Network (water company)","DUNCAN CRESCENT","BOVINGTON","WAREHAM","DORSET","BH20 6NN","DORSET UA","SY8397688924","","","SW","EA South West Region","401420","2","TRIBUTARY OF THE RIVER FROME","1.0","Freshwater river","01/15/21 00:00:00","01/15/21 00:00:00","09/29/21 00:00:00","E7","VARIED UNDER EPR 2010","1","S","Sewage - water company","SY8397488935","1","SC","SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY","SY8397088924","POINT (383976 88924)"
"PIDDLETRNTHIDE ESTATES LTD","HIGHLANDS FARM","A0","Domestic property (single) (incl farm house)","PIDDLETRENTHIDE","","","DORSET","DT2 7QP","DORSET UA","SY7081099060","PIDDLE TO DEVILS BROOK","44/41-","SW","EA South West Region","041789","1","SOAKAWAY","3.0","Into land / infiltration system","12/31/90 00:00:00","12/27/90 00:00:00","12/16/12 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","U","Sewage - not water company","SY6958098840","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY6958098840","POINT (370810 99060)"
"MR & MRS M ANDREWS","STINSFORD HILL HOUSE","A1","Domestic property (multiple) (incl farm houses)","STINSFORD HILL","DORCHESTER","DORSET","","DTS 8PS","DORSET UA","SY7090091340","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","041836","1","SOAKAWAY","3.0","Into land / infiltration system","09/11/91 00:00:00","09/02/91 00:00:00","12/16/12 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","U","Sewage - not water company","SY7086091370","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY7085091380","POINT (370900 91340)"
"D P, M P & S M KAYLL","HOLIDAY FLATS","A1","Domestic property (multiple) (incl farm houses)","WEST LUCCOMBE FARM","MILTON ABBAS","BLANDFORD FORUM","DORSET","DT11 0BE","DORSET UA","ST8093001200","BERE STREAM","44/44-","SW","EA South West Region","042077","1","SOAKAWAY","3.0","Into land / infiltration system","08/24/92 00:00:00","08/17/92 00:00:00","12/16/12 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","U","Sewage - not water company","ST8091001160","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","ST8091001160","POINT (380930 101200)"
"WAREHAM FOREST TOURING PARK LIMITED","WAREHAM FOREST TOURING PARK","A1","Domestic property (multiple) (incl farm houses)","NORTH TRIGON","WAREHAM","DORSET","","BH20 7NZ","DORSET UA","SY8910091400","PIDDLE-BERE STM TO WAREHM","44/45-","SW","EA South West Region","042395","1","SOAKAWAY","3.0","Into land / infiltration system","06/22/93 00:00:00","06/17/93 00:00:00","05/25/15 00:00:00","E8","SURRENDERED UNDER EPR 2010","1","U","Sewage - not water company","SY8924091280","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8924091280","POINT (389100 91400)"
"MR & MRS M DASHWOOD","SCYTHE BARN","A1","Domestic property (multiple) (incl farm houses)","WOOLCOMBE FARM","TOLLER PORCORUM","DORSET","","","DORSET UA","SY5562095070","RIVER HOOKE/WYNFORD STRM","44/52-","SW","EA South West Region","042445","1","DISCHARGE TO SOAKAWAY","3.0","Into land / infiltration system","11/01/95 00:00:00","10/25/95 00:00:00","10/01/96 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","U","Sewage - not water company","SY5545095360","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","ST8063025880","POINT (355620 95070)"
"WESSEX WATER SERVICES LIMITED","PUDDLETOWN SEWAGE TREATMENT WORKS","A2","WwTW/Sewage Treatment Works (water company)","PUDDLETOWN SEWAGE TREATMENT WRKS","DRUCE LANE","PUDDLETOWN","DORSET","DT2 8GE","DORSET UA","SY7505094950","PIDDLE TO DEVILS BROOK","44/41-","SW","EA South West Region","040070","1","RIVER PIDDLE (S)","1.0","Freshwater river","","07/20/85 00:00:00","03/29/06 00:00:00","R4","REVISED BY APPLICATION, GRANTED BY SEC.OF STATE -SEC 35","1","S","Sewage - water company","SY7506094910","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY7510094950","POINT (375050 94950)"
"PURBECK CARE LTD","BINNEGAR HALL","A0","Domestic property (single) (incl farm house)","WOOL ROAD","EAST STOKE","WAREHAM","DORSET","BH20 6AT","DORSET UA","SY8827087070","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","042569","1","SOAKAWAY","3.0","Into land / infiltration system","07/12/93 00:00:00","06/30/93 00:00:00","12/16/12 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","U","Sewage - not water company","SY8832087100","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8832087100","POINT (388270 87070)"
"MR & MRS POMEROY","PALLINGTON LAKES","03","Fish + Aquaculture/Fish Farm/Cress Farm","TINCLETON","DORCHESTER","DORSET","","","DORSET UA","SY7867091240","FROME,S.WINTBNE-TADNOLL","44/57-","SW","EA South West Region","040166","1","RIVER FROME AND TRIB R FROME","1.0","Freshwater river","","12/15/85 00:00:00","06/07/04 00:00:00","K6","CONSENT REVOKED - DISCHARGE CEASED (WRA  91, SCHED 10 & 6)","3","T","Trade","SY7860091060","1","AC","AGRICULTURE - FISH FARMING - WATER COMPANY","SY7860091060","POINT (378670 91240)"
"MAGNA HOUSING LIMITED","THE GREENWAYS ESTATE","A1","Domestic property (multiple) (incl farm houses)","DEWLISH","DORCHESTER","","DORSET","DT2 7LP","DORSET UA","SY7763098240","DEVILS BROOK/CHESILBN STM","44/42-","SW","EA South West Region","043007","1","SOAKAWAY","3.0","Into land / infiltration system","08/30/96 00:00:00","11/01/96 00:00:00","12/16/12 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","U","Sewage - not water company","SY7764098220","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY7763098230","POINT (377630 98240)"
"MR R NEWMAN","SHEEPDIP FARM (""KITWHISTLE"")","03","Fish + Aquaculture/Fish Farm/Cress Farm","HOLYWELL","FROME ST QUINTIN","DORSET","","","DORSET UA","ST5890003700","FROME ABOVE RIVER HOOKE","44/51-","SW","EA South West Region","050115","1","","","","","03/01/84 00:00:00","12/15/95 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","T","Trade","ST5903003750","1","AC","AGRICULTURE - FISH FARMING - WATER COMPANY","ST5902003760","POINT (358900 103700)"
"P E O PRATT ESQ","PURBECK FISHERIES","03","Fish + Aquaculture/Fish Farm/Cress Farm","TRIGON","WAREHAM","DORSET","","","DORSET UA","SY8844088570","PIDDLE-BERE STM TO WAREHM","44/45-","SW","EA South West Region","040136","1","RIVER PIDDLE","1.0","Freshwater river","","10/01/85 00:00:00","12/10/93 00:00:00","K3","REVOKED - APPEAL PERIOD( WATER ACT 1989 SCHED 12, 6 & 8)","1","T","Trade","SY8842088560","1","AC","AGRICULTURE - FISH FARMING - WATER COMPANY","SY8842088560","POINT (388440 88570)"
"P E O PRATT ESQ","PURBECK FISHERIES","03","Fish + Aquaculture/Fish Farm/Cress Farm","TRIGON","WAREHAM","DORSET","","","DORSET UA","SY8844088570","PIDDLE-BERE STM TO WAREHM","44/45-","SW","EA South West Region","040136","1","RIVER PIDDLE","1.0","Freshwater river","","10/01/85 00:00:00","12/10/93 00:00:00","K3","REVOKED - APPEAL PERIOD( WATER ACT 1989 SCHED 12, 6 & 8)","2","T","Trade","SY8842088520","1","AC","AGRICULTURE - FISH FARMING - WATER COMPANY","SY8842088520","POINT (388440 88570)"
"DORSET MOTOR COMPANY, MR J WEITZ","EVENING RISE STP","A0","Domestic property (single) (incl farm house)","6 MAIN ROAD","TOLPUDDLE","DORCHESTER","DORSET","DT2 7EW","DORSET UA","SY7923094430","PIDDLE-DV'LS BK-BERE STRM","44/43-","SW","EA South West Region","042887","1","SOAKAWAY","3.0","Into land / infiltration system","03/29/95 00:00:00","03/22/95 00:00:00","10/01/96 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","U","Sewage - not water company","SY7923094400","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY7923094400","POINT (379230 94430)"
"MR JESTY","OLD BUNCHING SHED & BUNGALOW","A1","Domestic property (multiple) (incl farm houses)","WATERY LANE","TINCLETON","DORSET",".","","DORSET UA","SY7666091821","FROME,S.WINTBNE-TADNOLL","44/57-","SW","EA South West Region","040535","1","SOAKAWAY","3.0","Into land / infiltration system","","08/01/87 00:00:00","10/01/96 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","U","Sewage - not water company","SY7655091810","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY7654091810","POINT (376660 91821)"
"HALL & WOODHOUSE LIMITED","MARTYRS INN","56","Food+Beverage Services/Cafe/Restaurant/Pub","A35 TOLPUDDLE","DORCHESTER","DORSET","","DT2 7ES","DORSET UA","SY7942094460","PIDDLE-DV'LS BK-BERE STRM","44/43-","SW","EA South West Region","040632","1","RIVER PIDDLE","1.0","Freshwater river","","03/01/88 00:00:00","02/01/07 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","U","Sewage - not water company","SY7941094360","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY7939094460","POINT (379420 94460)"
"MAGNA HOUSING LIMITED","TOLPUDDLE HSING ESTATE(12 PROPS.)","A0","Domestic property (single) (incl farm house)","TOLPUDDLE","DORSET","","","","DORSET UA","SY7890094550","PIDDLE-DV'LS BK-BERE STRM","44/43-","SW","EA South West Region","050923","1","","","","","04/14/60 00:00:00","04/28/95 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","U","Sewage - not water company","SY7890094550","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY7890094550","POINT (378900 94550)"
"MAJOR AND MRS A E  HILL","MILL HOUSE","A0","Domestic property (single) (incl farm house)","HOOKE","BEAMINSTER","DORSET",".","DT8 3NZ","DORSET UA","ST5335100520","RIVER HOOKE/WYNFORD STRM","44/52-","SW","EA South West Region","050791","1","","","","","02/19/70 00:00:00","10/01/96 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","U","Sewage - not water company","ST5335000520","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","ST5335000520","POINT (353351 100520)"
