"COMPANY_NAME","DISCHARGE_SITE_NAME","DISCHARGE_SITE_TYPE_CODE","DSI_TYPE_DESCRIPTION","ADD_OF_DISCHARGE_SITE_LINE_1","ADD_OF_DISCHARGE_SITE_LINE_2","ADD_OF_DISCHARGE_SITE_LINE_3","ADD_OF_DISCHARGE_SITE_LINE_4","ADD_OF_DISCHARGE_SITE_PCODE","DISTRICT_COUNCIL","DISCHARGE_NGR","CATC_NAME","CATCHMENT_CODE","EA_REGION","SOURCE","PERMIT_NUMBER","PERMIT_VERSION","RECEIVING_WATER","RECEIVING_ENVIRON_TYPE_CODE","REC_ENV_CODE_DESCRIPTION","ISSUED_DATE","EFFECTIVE_DATE","REVOCATION_DATE","STATUS_OF_PERMIT","STATUS_DESCRIPTION","OUTLET_NUMBER","OUTLET_TYPE_CODE","OUTLET_TYPE_DESCRIPTION","OUTLET_GRID_REF","EFFLUENT_NUMBER","EFFLUENT_TYPE","EFF_TYPE_DESCRIPTION","EFFLUENT_GRID_REF","geometry"
"MR M VACHER","COLD HARBOUR FARM","A0","Domestic property (single) (incl farm house)","BERE ROAD","WAREHAM","DORSET","","BH20 7PA","DORSET UA","SY9000090030","PIDDLE-BERE STM TO WAREHM","44/45-","SW","EA South West Region","040269","1","SOAKAWAY","3.0","Into land / infiltration system","","05/19/86 00:00:00","10/01/96 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","U","Sewage - not water company","SY9000090030","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9000090030","POINT (390000 90030)"
"MR & MRS TH BLUNDELL","COBWEBS (FORMERLY OLD BARN HOUSE)","A1","Domestic property (multiple) (incl farm houses)","GODMANSTONE","DORCHESTER","DORSET","","DT2 7AQ","DORSET UA","SY6677097480","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","040503","1","RIVER CERNE","1.0","Freshwater river","","03/01/88 00:00:00","10/01/96 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","U","Sewage - not water company","SY6680097470","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY6678097470","POINT (366770 97480)"
"MR PAUL FRAMPTON","NETHER CERNE FISH FARM","03","Fish + Aquaculture/Fish Farm/Cress Farm","NETHER CERNE","DORSET","","","","DORSET UA","SY6690099000","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","050818","1","RIVER CERNE","1.0","Freshwater river","","07/07/80 00:00:00","06/06/22 00:00:00","E8","SURRENDERED UNDER EPR 2010","1","T","Trade","SY6685098880","1","AC","AGRICULTURE - FISH FARMING - WATER COMPANY","SY6685098880","POINT (366900 99000)"
"RAGLAN HOUSING ASSOC LTD","EPD HOUSING","A1","Domestic property (multiple) (incl farm houses)","EAST LULWORTH","WAREHAM","","DORSET","BH20 5QN","DORSET UA","SY8605082110","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","040732","1","SOAKAWAY","3.0","Into land / infiltration system","03/23/88 00:00:00","04/01/88 00:00:00","12/16/12 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","1","U","Sewage - not water company","SY8606082090","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8606082070","POINT (386050 82110)"
"WESSEX WATER SERVICES LIMITED","DORCHESTER MELSTOCK AVENUE","A3","Storm Tank/CSO on Sewerage Network (water company)","MELLSTOCK AVENUE","DORCHESTER","","","","DORSET UA","SY6980089400","SOUTH WINTERBOURNE","44/56-","SW","EA South West Region","041117","1","SOAKAWAY HERRINGBONE","1.0","Freshwater river","","10/31/89 00:00:00","12/20/00 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","T","Trade","SY6980089400","1","SD","SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY","SY6980089400","POINT (369800 89400)"
"BARNSTON FARMS LTD","NEW DAIRY UNIT","01","Farms (not house)/Crop + Animal Rearing/Plant Nursery","BARNSTON FARM","CHURCH KNOWLE","WAREHAM","DORSET","","DORSET UA","SY9320081500","POOLE HARBR/CORFE/SHERFD","44/90-","SW","EA South West Region","051025","1","","","","","12/13/73 00:00:00","06/20/95 00:00:00","K1","CONSENT REVOKED - DISCHARGE CEASED (SECTION 37(1))","1","T","Trade","SY9320081500","1","AA","AGRICULTURE - ARABLE FARMING","SY9320081500","POINT (393200 81500)"
"WESSEX WATER SERVICES LIMITED","LYTCHETT MATRAVERS","A3","Storm Tank/CSO on Sewerage Network (water company)","BULBERRY LANE","HALLS LANE","LYTCHETT MATRAVERS","","","DORSET UA","SY9370094100","HOLES BAY","44/95-","SW","EA South West Region","041150","1","DITCH","15.0","Into land then to watercourse","","10/31/89 00:00:00","03/01/94 00:00:00","F1","1961 R(PP)A APPLICATION REFUSED","1","T","Trade","SY9370094100","1","SD","SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY","SY9370094100","POINT (393700 94100)"
"WESSEX WATER SERVICES LIMITED","BOVINGTON DUNCAN CRESCENT","A4","Pumping Station on Sewerage Network (water company)","OFF DUNCAN CRESCENT","BOVINGTON","","","","DORSET UA","SY8400088900","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","041170","1","DITCH","15.0","Into land then to watercourse","","10/31/89 00:00:00","10/21/07 00:00:00","K2","CONSENT REVOKED OR REVISED - NEW CONSENT ISSUED (37(1))","1","T","Trade","SY8400088900","1","SD","SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY","SY8400088900","POINT (384000 88900)"
"WESSEX WATER SERVICES LIMITED","CSO AT SCOUT HUT","A3","Storm Tank/CSO on Sewerage Network (water company)","GEORGES ROAD","DORCHESTER","","DORSET",".","DORSET UA","SY7018190397","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","041212","1","SWS-RIVER FROME","1.0","Freshwater river","","09/12/89 00:00:00","06/04/99 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","S","Sewage - water company","SY7024090400","1","SC","SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY","SY7024090400","POINT (370181 90397)"
"WESSEX WATER SERVICES LIMITED","MAIDEN NEWTON WATER RECYCLING CENTR","A2","WwTW/Sewage Treatment Works (water company)","MAIDEN NEWTON","DORCHESTER","","DORSET","DT2 0AY","DORSET UA","SY6045497257","FROME,HOOKE-SYDLING WATER","44/53-","SW","EA South West Region","041353","1","DORSET FROME (S)","1.0","Freshwater river","11/16/89 00:00:00","11/16/89 00:00:00","03/29/06 00:00:00","S1","BY DIRECT. OF SEC OF STATE, (WATER ACT 1989 SCHED 26 & 25(4)(5))","1","S","Sewage - water company","SY6028097160","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY6045097250","POINT (360454 97257)"
