samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,DISCHARGE_SITE_NAME_1,MATCH_CONFIDENCE_1,PERMIT_NUMBER_1,PERMIT_VERSION_1,DISCHARGE_EASTING_1,DISCHARGE_NORTHING_1,DISCHARGE_SITE_NAME_2,MATCH_CONFIDENCE_2,PERMIT_NUMBER_2,PERMIT_VERSION_2,DISCHARGE_EASTING_2,DISCHARGE_NORTHING_2,DISCHARGE_SITE_NAME_3,MATCH_CONFIDENCE_3,PERMIT_NUMBER_3,PERMIT_VERSION_3,DISCHARGE_EASTING_3,DISCHARGE_NORTHING_3,DISCHARGE_SITE_NAME_4,MATCH_CONFIDENCE_4,PERMIT_NUMBER_4,PERMIT_VERSION_4,DISCHARGE_EASTING_4,DISCHARGE_NORTHING_4
SW-50440168,ROKE CRESS SOUTH HOLLYBUSH BERE REGIS,383852.6498067107,95648.33045950047,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50540186,SYDLING ST NICHOLAS STW FE,363039.0416508037,98801.79603366196,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50550158,RIVER FROME AT BRADFORD PEVERELL,365941.5350782325,93132.67163188948,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50540139,LOWER MAGISTON WATERCRESS FARM B,363556.5351885995,96195.89024009724,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5055GW08,"HONEY PITTS PLANTATION (SPRING), MINTERNE PARK",366546.873722511,103837.9557649185,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50450145,EIGHT HATCH FISH FARM EMERGENCY OUTLET,389388.23687740543,88161.22747479886,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50450172,RIVER PIDDLE U/S PURBECK FISH FARM,388301.4583445746,88597.2557077939,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5054GW01,LOWER MAGISTON WATERCRESS BEDS-PREVIOUS MONITORING ON SITE C3609000,363543.7552265673,96385.03186083167,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50550374,CERNE ABBAS STW FE,366571.1794770574,99956.66278409708,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5055GW01,DORSET COUNTY HOSPITAL GROUNDWATER,368437.82743146375,90492.49032766747,,0.0,,,,,,,,,,,,,,,,,,,,,,
