,EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,MONTH_FROM,MONTH_TO,CODE_1,VAL_1,CODE_2,VAL_2,CODE_3,VAL_3,DETE_CODE,UNITS,DETE,METHOD
12,SW,EA South West Region,401050,5,1,1,1,12,95 PERCENTILE,15.0,MAXIMUM VALUE,50.0,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
13,SW,EA South West Region,401056,2,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
14,SW,EA South West Region,041324,9,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
15,SW,EA South West Region,401059,2,2,2,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
16,SW,EA South West Region,401056,2,1,1,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
17,SW,EA South West Region,400114/CF/01,2,2,2,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
18,SW,EA South West Region,401056,2,3,3,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
19,SW,EA South West Region,401521,2,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
20,SW,EA South West Region,040067,5,1,1,11,4,95 PERCENTILE,10.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
21,SW,EA South West Region,041444,1,1,1,1,12,MAXIMUM VALUE,20.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
22,SW,EA South West Region,041444,1,1,1,1,12,MAXIMUM VALUE,20.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
23,SW,EA South West Region,041518,1,1,1,1,12,MAXIMUM VALUE,0.5,,,,,61,PH UNITS,pH,COMPARATIVE
24,SW,EA South West Region,041518,1,2,1,1,12,MAXIMUM VALUE,10.0,,,,,72,COLOUR,"Colour, Filtered",COMPARATIVE
25,SW,EA South West Region,041518,1,2,1,1,12,MAXIMUM VALUE,4.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",COMPARATIVE
26,SW,EA South West Region,041519,1,1,1,1,12,MAXIMUM VALUE,5.0,,,,,6396,NEPHELOMETRIC TURBIDITY UNITS,Turbidity,COMPARATIVE
27,SW,EA South West Region,402100,4,1,1,1,12,95 PERCENTILE,17.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
28,SW,EA South West Region,EPRYB3197RR,2,1,1,1,12,MAXIMUM VALUE,20.0,,,,,6396,NEPHELOMETRIC TURBIDITY UNITS,Turbidity,ABSOLUTE
29,SW,EA South West Region,042116,4,1,2,1,12,95 PERCENTILE,10.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
30,SW,EA South West Region,043233,2,1,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
31,SW,EA South West Region,043235,2,2,1,1,12,MAXIMUM VALUE,9.0,MINIMUM VALUE,6.0,,,61,PH UNITS,pH,ABSOLUTE
32,SW,EA South West Region,400114/CF/01,2,1,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
33,SW,EA South West Region,401056,2,1,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
34,SW,EA South West Region,042451,8,2b,1,1,12,MAXIMUM VALUE,56.0,95 PERCENTILE,20.0,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
35,SW,EA South West Region,042451,8,2b,1,1,12,MAXIMUM VALUE,27.0,95 PERCENTILE,7.0,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
36,SW,EA South West Region,042451,8,1b,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
37,SW,EA South West Region,400607,7,1,1,1,12,95 PERCENTILE,20.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
38,SW,EA South West Region,040067,5,1,1,5,10,95 PERCENTILE,5.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
39,SW,EA South West Region,040067,5,1,1,1,12,MEAN VALUE,4.0,,,,,348,MILLIGRAM PER LITRE,"Phosphorus, Total as P",ABSOLUTE
40,SW,EA South West Region,040067,5,1,1,1,12,MAXIMUM VALUE,1000.0,,,,,6057,MICROGRAM PER LITRE,Aluminium,ABSOLUTE
41,SW,EA South West Region,041518,1,1,1,1,12,MAXIMUM VALUE,10.0,,,,,72,COLOUR,"Colour, Filtered",COMPARATIVE
42,SW,EA South West Region,041518,1,2,1,1,12,MAXIMUM VALUE,5.0,,,,,6396,NEPHELOMETRIC TURBIDITY UNITS,Turbidity,COMPARATIVE
43,SW,EA South West Region,041518,1,2,1,1,12,MAXIMUM VALUE,0.3,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,COMPARATIVE
44,SW,EA South West Region,041519,1,1,1,1,12,MAXIMUM VALUE,10.0,,,,,72,COLOUR,"Colour, Filtered",COMPARATIVE
45,SW,EA South West Region,041519,1,1,1,1,12,MAXIMUM VALUE,2.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,COMPARATIVE
46,SW,EA South West Region,401223,3,1,1,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
47,SW,EA South West Region,401223,3,1,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
48,SW,EA South West Region,401223,3,2,1,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
49,SW,EA South West Region,401223,3,2,1,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
50,SW,EA South West Region,041518,1,1,1,1,12,MINIMUM VALUE,60.0,,,,,9901,PERCENTAGE,"Oxygen, Dissolved, % Saturation",ABSOLUTE
51,SW,EA South West Region,402100,4,1,1,1,12,MAXIMUM VALUE,9.0,MINIMUM VALUE,5.5,,,61,PH UNITS,pH,ABSOLUTE
52,SW,EA South West Region,041519,1,2,1,1,12,MAXIMUM VALUE,0.5,,,,,61,PH UNITS,pH,COMPARATIVE
53,SW,EA South West Region,401050,5,1,1,1,12,95 PERCENTILE,30.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
54,SW,EA South West Region,040111,4,1,1,1,12,95 PERCENTILE,20.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
55,SW,EA South West Region,040111,4,1,1,1,12,95 PERCENTILE,20.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
56,SW,EA South West Region,041324,9,1,1,1,12,95 PERCENTILE,26.0,MAXIMUM VALUE,61.0,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
57,SW,EA South West Region,042116,4,1,1,1,12,95 PERCENTILE,15.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
58,SW,EA South West Region,042116,4,1,1,1,12,95 PERCENTILE,10.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
59,SW,EA South West Region,043232,2,1,1,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
60,SW,EA South West Region,043235,2,1,1,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
61,SW,EA South West Region,401056,2,3,3,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
62,SW,EA South West Region,401056,2,4,4,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
63,SW,EA South West Region,401056,2,4,4,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
64,SW,EA South West Region,042451,8,1a,1,1,12,MAXIMUM VALUE,56.0,95 PERCENTILE,20.0,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
