id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,observation.month,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit,PERMIT_NUMBER,PERMIT_VERSION,DISCHARGE_EASTING,DISCHARGE_NORTHING,EA_REGION,REGION,OUTLET_NUMBER,EFFLUENT_NUMBER,MONTH_FROM,MONTH_TO,ROW_ID,N,DETE,METHOD,UNITS,RULE_TYPE,RULE_VALUE,ROW_PASS_STATUS,OBSERVATION_GROUPING_PASS_STATUS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3457052/observation/0135,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,380301.5659997132,96650.3208601829,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-15 10:59:00,6,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,135,"Solids, Suspended at 105 C",10.0,MILLIGRAM PER LITRE,042116,4.0,380380.0,96680.0,SW,EA South West Region,1,3,1,12,127,1,"Solids, Suspended at 105 C",ABSOLUTE,MILLIGRAM PER LITRE,MAXIMUM VALUE,100.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3466272/observation/0135,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,380301.5659997132,96650.3208601829,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-30 09:00:00,9,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,135,"Solids, Suspended at 105 C",5.0,MILLIGRAM PER LITRE,042116,4.0,380380.0,96680.0,SW,EA South West Region,1,3,1,12,127,1,"Solids, Suspended at 105 C",ABSOLUTE,MILLIGRAM PER LITRE,MAXIMUM VALUE,100.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3468448/observation/0135,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,380301.5659997132,96650.3208601829,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-10-06 08:20:00,10,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,135,"Solids, Suspended at 105 C",6.0,MILLIGRAM PER LITRE,042116,4.0,380380.0,96680.0,SW,EA South West Region,1,3,1,12,127,1,"Solids, Suspended at 105 C",ABSOLUTE,MILLIGRAM PER LITRE,MAXIMUM VALUE,100.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3469395/observation/0085,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,380301.5659997132,96650.3208601829,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15 08:52:00,11,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,85,BOD : 5 Day ATU,24.0,MILLIGRAM PER LITRE,042116,4.0,380380.0,96680.0,SW,EA South West Region,1,3,1,12,146,1,BOD : 5 Day ATU,ABSOLUTE,MILLIGRAM PER LITRE,MAXIMUM VALUE,100.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3469395/observation/0135,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,380301.5659997132,96650.3208601829,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15 08:52:00,11,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,135,"Solids, Suspended at 105 C",30.0,MILLIGRAM PER LITRE,042116,4.0,380380.0,96680.0,SW,EA South West Region,1,3,1,12,127,1,"Solids, Suspended at 105 C",ABSOLUTE,MILLIGRAM PER LITRE,MAXIMUM VALUE,100.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3440901/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,385180.4355245184,93798.39070571568,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-11 10:12:00,1,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.33,PH UNITS,043235,2.0,385220.0,93780.0,SW,EA South West Region,2,1,1,12,31,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3440901/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,385180.4355245184,93798.39070571568,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-11 10:12:00,1,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.33,PH UNITS,043235,2.0,385220.0,93780.0,SW,EA South West Region,1,1,1,12,148,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3440901/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,385180.4355245184,93798.39070571568,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-11 10:12:00,1,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.33,PH UNITS,043235,2.0,385220.0,93780.0,SW,EA South West Region,2,1,1,12,31,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,6.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3440901/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,385180.4355245184,93798.39070571568,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-11 10:12:00,1,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.33,PH UNITS,043235,2.0,385220.0,93780.0,SW,EA South West Region,1,1,1,12,148,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,6.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3442343/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,385180.4355245184,93798.39070571568,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:16:00,2,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.9,PH UNITS,043235,2.0,385220.0,93780.0,SW,EA South West Region,2,1,1,12,31,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
