,id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit,PERMIT_NUMBER,PERMIT_VERSION,MONTH,Unnamed: 0,row_id,n,DETE,DETE_CODE,EA_REGION,EFFLUENT_NUMBER,METHOD,MONTH_FROM,MONTH_TO,OUTLET_NUMBER,PERMIT_REF,REGION,UNITS,VERSION,RULE_TYPE,RULE_VALUE,status
120,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3469393/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15 08:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.83,PH UNITS,402100,4.0,11,51,51,1,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MAXIMUM VALUE,9.0,PASS
121,https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3469393/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15 08:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.83,PH UNITS,402100,4.0,11,211,51,2,pH,61,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,PH UNITS,4,MINIMUM VALUE,5.5,PASS
364,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3444056/observation/0135,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,-2.2807,50.7691,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-01-25 12:17:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,135,"Solids, Suspended at 105 C",11.0,MILLIGRAM PER LITRE,042116,4.0,1,128,128,1,"Solids, Suspended at 105 C",135,SW,3,ABSOLUTE,1,12,1,042116,EA South West Region,MILLIGRAM PER LITRE,4,MAXIMUM VALUE,100.0,PASS
388,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3457052/observation/0135,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,-2.2807,50.7691,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-15 10:59:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,135,"Solids, Suspended at 105 C",10.0,MILLIGRAM PER LITRE,042116,4.0,6,128,128,1,"Solids, Suspended at 105 C",135,SW,3,ABSOLUTE,1,12,1,042116,EA South West Region,MILLIGRAM PER LITRE,4,MAXIMUM VALUE,100.0,PASS
412,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3466272/observation/0135,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,-2.2807,50.7691,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-30 09:00:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,135,"Solids, Suspended at 105 C",5.0,MILLIGRAM PER LITRE,042116,4.0,9,128,128,1,"Solids, Suspended at 105 C",135,SW,3,ABSOLUTE,1,12,1,042116,EA South West Region,MILLIGRAM PER LITRE,4,MAXIMUM VALUE,100.0,PASS
436,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3468448/observation/0135,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,-2.2807,50.7691,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-10-06 08:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,135,"Solids, Suspended at 105 C",6.0,MILLIGRAM PER LITRE,042116,4.0,10,128,128,1,"Solids, Suspended at 105 C",135,SW,3,ABSOLUTE,1,12,1,042116,EA South West Region,MILLIGRAM PER LITRE,4,MAXIMUM VALUE,100.0,PASS
446,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3469395/observation/0085,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,-2.2807,50.7691,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15 08:52:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,85,BOD : 5 Day ATU,24.0,MILLIGRAM PER LITRE,042116,4.0,11,149,149,1,BOD : 5 Day ATU,85,SW,3,ABSOLUTE,1,12,1,042116,EA South West Region,MILLIGRAM PER LITRE,4,MAXIMUM VALUE,100.0,PASS
460,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3469395/observation/0135,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,-2.2807,50.7691,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15 08:52:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,135,"Solids, Suspended at 105 C",30.0,MILLIGRAM PER LITRE,042116,4.0,11,128,128,1,"Solids, Suspended at 105 C",135,SW,3,ABSOLUTE,1,12,1,042116,EA South West Region,MILLIGRAM PER LITRE,4,MAXIMUM VALUE,100.0,PASS
468,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3440901/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-11 10:12:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.33,PH UNITS,043235,2.0,1,31,31,1,pH,61,SW,1,ABSOLUTE,1,12,2,043235,EA South West Region,PH UNITS,2,MAXIMUM VALUE,9.0,PASS
469,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3440901/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-11 10:12:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.33,PH UNITS,043235,2.0,1,151,151,1,pH,61,SW,1,ABSOLUTE,1,12,1,043235,EA South West Region,PH UNITS,2,MAXIMUM VALUE,9.0,PASS
470,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3440901/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-11 10:12:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.33,PH UNITS,043235,2.0,1,191,31,2,pH,61,SW,1,ABSOLUTE,1,12,2,043235,EA South West Region,PH UNITS,2,MINIMUM VALUE,6.0,PASS
471,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3440901/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-11 10:12:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.33,PH UNITS,043235,2.0,1,311,151,2,pH,61,SW,1,ABSOLUTE,1,12,1,043235,EA South West Region,PH UNITS,2,MINIMUM VALUE,6.0,PASS
486,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3442343/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:16:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.9,PH UNITS,043235,2.0,2,31,31,1,pH,61,SW,1,ABSOLUTE,1,12,2,043235,EA South West Region,PH UNITS,2,MAXIMUM VALUE,9.0,PASS
487,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3442343/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:16:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.9,PH UNITS,043235,2.0,2,151,151,1,pH,61,SW,1,ABSOLUTE,1,12,1,043235,EA South West Region,PH UNITS,2,MAXIMUM VALUE,9.0,PASS
488,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3442343/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:16:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.9,PH UNITS,043235,2.0,2,191,31,2,pH,61,SW,1,ABSOLUTE,1,12,2,043235,EA South West Region,PH UNITS,2,MINIMUM VALUE,6.0,PASS
489,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3442343/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:16:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.9,PH UNITS,043235,2.0,2,311,151,2,pH,61,SW,1,ABSOLUTE,1,12,1,043235,EA South West Region,PH UNITS,2,MINIMUM VALUE,6.0,PASS
504,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3444613/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-03-03 11:51:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.52,PH UNITS,043235,2.0,3,31,31,1,pH,61,SW,1,ABSOLUTE,1,12,2,043235,EA South West Region,PH UNITS,2,MAXIMUM VALUE,9.0,PASS
505,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3444613/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-03-03 11:51:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.52,PH UNITS,043235,2.0,3,151,151,1,pH,61,SW,1,ABSOLUTE,1,12,1,043235,EA South West Region,PH UNITS,2,MAXIMUM VALUE,9.0,PASS
506,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3444613/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-03-03 11:51:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.52,PH UNITS,043235,2.0,3,191,31,2,pH,61,SW,1,ABSOLUTE,1,12,2,043235,EA South West Region,PH UNITS,2,MINIMUM VALUE,6.0,PASS
507,https://environment.data.gov.uk/water-quality/sampling-point/SW-50440129/sample/3444613/observation/0061,SW-50440129,DODDINGS FARM WATERCRESS B2 BERE REGIS,-2.2114,50.7436,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-03-03 11:51:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.52,PH UNITS,043235,2.0,3,311,151,2,pH,61,SW,1,ABSOLUTE,1,12,1,043235,EA South West Region,PH UNITS,2,MINIMUM VALUE,6.0,PASS
