PERMIT_REF,VERSION,DETE_CODE,row_count
012751,1,7444,2
012770,1,85,2
012770,1,111,2
012770,1,135,2
012770,1,6425,2
012855,2,7444,2
012868,1,85,2
012868,1,111,2
012868,1,135,2
012868,1,6425,2
012875,1,85,2
012875,1,111,2
012875,1,135,2
012883,1,7444,2
012884,2,7444,2
012889,1,85,2
012889,1,111,2
012889,1,135,2
012889,1,6425,2
012903,1,85,2
012903,1,111,2
012903,1,135,2
012927,2,85,2
012927,2,111,2
012927,2,135,2
012927,2,664,2
012927,2,6425,2
012928,1,85,2
012928,1,111,2
012928,1,135,2
012928,1,6425,2
012937,1,85,2
012937,1,111,2
012937,1,135,2
012937,1,6425,2
012949,1,85,2
012949,1,111,2
012949,1,135,2
012949,1,6425,2
012958,1,6425,2
012975,1,7444,2
012995,1,85,2
012995,1,111,2
012995,1,135,2
013093,2,7444,2
013098,1,85,2
013098,1,111,2
013098,1,135,2
013099,1,85,2
013099,1,111,2
013099,1,135,2
013099,1,6425,2
013110,1,85,2
013110,1,111,2
013110,1,135,2
013110,1,6425,2
013124,1,85,2
013124,1,111,2
013124,1,135,2
013140,3,664,2
013140,3,6425,2
013140,3,7444,2
013160,1,85,2
013160,1,111,2
013160,1,135,2
013171,1,85,2
013171,1,111,2
013171,1,135,2
013190,1,85,2
013190,1,111,2
013190,1,135,2
013190,1,6425,2
013239,1,85,2
013239,1,111,2
013239,1,135,2
013239,1,6425,2
013269,3,7444,2
013303,1,6425,2
013318,2,7444,2
013332,1,85,2
013332,1,111,2
013332,1,135,2
013332,1,6425,2
013370,1,85,2
013370,1,111,2
013370,1,135,2
013370,1,6425,2
013414,2,85,2
013414,2,111,2
013414,2,135,2
013414,2,664,2
013414,2,6425,2
013424,1,85,2
013424,1,111,2
013424,1,135,2
013424,2,85,2
013424,2,111,2
013424,2,135,2
013424,2,6425,2
013457,1,85,2
013457,1,111,2
013457,1,135,2
013457,1,6425,2
013461,1,6425,2
013464,1,7444,2
013525,1,85,2
013525,1,111,2
013525,1,135,2
013525,1,6425,2
016810030,1,85,2
016810030,1,135,3
016810030,1,9826,2
016810030,2,85,2
016810030,2,135,3
016810030,2,9826,2
016810030,3,85,2
016810030,3,135,3
016810030,3,9826,2
016810030,4,85,2
016810030,4,135,3
016810030,4,9825,2
016810030,4,9829,3
016810030,5,85,2
016810030,5,111,2
016810030,5,135,3
016810030,5,9825,2
016810030,5,9829,3
016810030,6,85,2
016810030,6,111,2
016810030,6,135,3
016810030,6,9825,2
016810030,6,9829,3
016810030,7,85,2
016810030,7,111,2
016810030,7,135,3
016810030,7,9825,2
016810030,8,85,2
016810030,8,111,2
016810030,8,135,3
016810030,8,9825,2
016810030,9,135,2
016810030,10,135,2
016810030,11,85,2
016810030,11,111,2
016810030,11,135,3
016810030,11,3647,2
016810030,11,7729,2
016810030,11,7782,2
016810030,11,8174,2
016810032,5,9829,2
016810035,10,3647,2
016810042,1,135,2
016810042,2,135,2
016810042,11,3647,2
016810042,12,3647,2
016810045,1,135,2
016810045,2,135,2
016810045,6,8174,2
016810045,7,8174,2
016810045,8,2928,2
016810045,8,2932,2
016810045,8,2933,2
016810045,8,2934,2
016810045,8,3647,3
016810045,8,8174,4
016810048,1,135,2
016810048,2,135,2
016810048,3,135,2
016810048,4,135,2
016810049,1,135,2
016810049,2,135,2
016810049,3,135,2
016810049,4,135,2
016810049,5,135,2
016810049,6,135,2
016810049,7,135,2
016810049,8,135,2
016810049,9,135,2
016810049,9,3647,2
016810052,1,85,2
016810052,1,135,2
016810052,2,85,3
016810052,2,135,4
016810052,3,85,3
016810052,3,135,4
016810052,10,6452,2
016810052,12,85,2
016810052,12,111,2
016810052,13,8174,2
016810052,14,3647,2
016810052,14,8174,2
016810057,5,3647,2
016810065,5,7444,2
016810065,6,7444,2
016810066,1,135,2
016810066,2,135,2
016810066,3,135,2
016810066,4,135,2
016810066,5,135,2
016810066,5,9829,2
016810066,6,9829,2
016810066,7,9829,2
016810066,8,9829,2
016810066,9,9829,2
016810066,11,8174,2
016810066,12,8174,2
016810068,1,135,2
016810068,2,135,2
016810068,3,135,2
016810068,4,135,2
016810068,5,135,2
016810068,5,9829,2
016810068,6,135,2
016810068,6,9829,2
016810068,7,135,2
016810068,7,9829,2
016810068,8,135,2
016810068,9,135,2
016810068,10,135,2
016810068,11,135,2
016810068,12,135,2
016810068,12,3647,2
016810070,1,135,2
016810070,2,135,2
016810070,3,135,2
016810070,4,135,2
016810072,1,135,2
016810072,2,135,2
016810072,3,135,2
016810081,5,135,2
016810081,6,135,2
016810081,7,135,2
016810081,8,135,2
016810081,9,135,2
016810081,11,3647,2
016810083,1,135,2
016810083,2,135,2
016810083,3,135,2
016810083,4,135,2
016810083,4,9829,2
016810083,5,135,2
016810083,5,9829,2
016810083,6,135,2
016810083,6,9829,2
016810083,7,135,2
016810083,7,9829,2
016810083,8,135,2
016810083,8,9829,2
016810083,9,135,2
016810083,9,9829,2
016810083,10,135,2
016810083,10,9829,2
016810083,11,111,2
016810083,13,111,2
