COMPANY_NAME,DISCHARGE_SITE_NAME,DISCHARGE_SITE_TYPE_CODE,DSI_TYPE_DESCRIPTION,ADD_OF_DISCHARGE_SITE_LINE_1,ADD_OF_DISCHARGE_SITE_LINE_2,ADD_OF_DISCHARGE_SITE_LINE_3,ADD_OF_DISCHARGE_SITE_LINE_4,ADD_OF_DISCHARGE_SITE_PCODE,DISTRICT_COUNCIL,DISCHARGE_NGR,CATC_NAME,CATCHMENT_CODE,EA_REGION,SOURCE,PERMIT_NUMBER,PERMIT_VERSION,RECEIVING_WATER,RECEIVING_ENVIRON_TYPE_CODE,REC_ENV_CODE_DESCRIPTION,ISSUED_DATE,EFFECTIVE_DATE,REVOCATION_DATE,STATUS_OF_PERMIT,STATUS_DESCRIPTION,OUTLET_NUMBER,OUTLET_TYPE_CODE,OUTLET_TYPE_DESCRIPTION,OUTLET_GRID_REF,EFFLUENT_NUMBER,EFFLUENT_TYPE,EFF_TYPE_DESCRIPTION,EFFLUENT_GRID_REF,DISCHARGE_EASTING,DISCHARGE_NORTHING,permit_pair
MESSRS P W DOEL & SONS (P J AND A A DOEL),HACK FARM,01,Farms (not house)/Crop + Animal Rearing/Plant Nursery,LOWER FOREST,MELKSHAM,WILTSHIRE,,,WILTSHIRE UA,ST9320065800,BRISTOL AVON UPPER REACH,53/01C,SW,EA South West Region,021723,1,TRIB OF RIVER BRISTOL AVON,1.0,Freshwater river,08/16/93 00:00:00,08/16/93 00:00:00,,R2,"REVISED CONSENT, BY NOTICE (SECTION 37(1))",1,T,Trade,ST9280066000,1,AA,AGRICULTURE - ARABLE FARMING,ST9280066000,393200,165800,"('021723', 1)"
E J COTTLE ESQ,CRAYSMARSH FARM,01,Farms (not house)/Crop + Animal Rearing/Plant Nursery,MELKSHAM,WILTS,,,,WILTSHIRE UA,ST9350062610,BRISTOL AVON UPPER REACH,53/01C,SW,EA South West Region,020865,1,TRIB OF RIVER BRISTOL AVON,1.0,Freshwater river,,03/31/66 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,Y,Sewage and Trade combined,ST9350062600,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9350062600,393500,162610,"('020865', 1)"
E J COTTLE ESQ,CRAYSMARSH FARM,01,Farms (not house)/Crop + Animal Rearing/Plant Nursery,MELKSHAM,WILTS,,,,WILTSHIRE UA,ST9350062610,BRISTOL AVON UPPER REACH,53/01C,SW,EA South West Region,020867,1,TRIB OF RIVER BRISTOL AVON,1.0,Freshwater river,,03/31/66 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,T,Trade,ST9350062610,1,AA,AGRICULTURE - ARABLE FARMING,ST9350062610,393500,162610,"('020867', 1)"
R G ELLIOT,HOME FARM,A0,Domestic property (single) (incl farm house),BULKINGTON,DEVIZES,WILTSHIRE,,,WILTSHIRE UA,ST9410058400,SEMINGTON,53/09-,SW,EA South West Region,021007,1,TRIB OF SEMINGTON BROOK,1.0,Freshwater river,,03/30/65 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,U,Sewage - not water company,ST9410058400,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9410058400,394100,158400,"('021007', 1)"
R G ELLIOT,HOME FARM,A0,Domestic property (single) (incl farm house),BULKINGTON,DEVIZES,WILTSHIRE,,,WILTSHIRE UA,ST9410058400,SEMINGTON,53/09-,SW,EA South West Region,021008,1,TRIB OF SEMINGTON BROOK,1.0,Freshwater river,,03/30/65 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,T,Trade,ST9410058410,1,AA,AGRICULTURE - ARABLE FARMING,ST9410058410,394100,158400,"('021008', 1)"
DR BRUCE P WOOLLARD,LOWER MEADOW HOUSE,A0,Domestic property (single) (incl farm house),TARRANT LAUNCESTON,BLANDFORD FORUM,DORSET,.,DT11 8BY,DORSET UA,ST9450009110,STOUR-CALE TO ALLEN,43/34-,SW,EA South West Region,400495,1,RIVER TARRANT VIA PART. SOAKAY,1.0,Freshwater river,12/23/97 00:00:00,12/23/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,ST9450009060,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9450009060,394500,109110,"('400495', 1)"
MR TIMOTHY FREEBORN,LOWER MEADOW HOUSE,A0,Domestic property (single) (incl farm house),TARRANT LAUNCESTON,BLANDFORD FORUM,DORSET,.,DT11 8BY,DORSET UA,ST9450009110,STOUR-CALE TO ALLEN,43/34-,SW,EA South West Region,400483,1,RIVER TARRANT VIA PART. SOAKAY,1.0,Freshwater river,12/23/97 00:00:00,12/23/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,ST9446009130,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9446009130,394500,109110,"('400483', 1)"
WILTSHIRE COUNCIL,1-8 SQUALLS LANE,A0,Domestic property (single) (incl farm house),1-8 SQUALLS LANE,TISBURY,SALISBURY,WILTSHIRE,SP3 6RX,WILTSHIRE UA,ST9532527381,NADDER,43/22-,SW,EA South West Region,NPSWQD008875,1,TRIBUTARY OF RIVER NADDER,1.0,Freshwater river,09/22/09 00:00:00,09/22/09 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,ST9546327362,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9546327362,395325,127381,"('NPSWQD008875', 1)"
WILTSHIRE COUNCIL,1-8 SQUALLS LANE,A0,Domestic property (single) (incl farm house),1-8 SQUALLS LANE,TISBURY,SALISBURY,WILTSHIRE,SP3 6RX,WILTSHIRE UA,ST9532527381,NADDER,43/22-,SW,EA South West Region,EPREP3723XX,1,TRIB OF RIVER NADDER,1.0,Freshwater river,08/27/10 00:00:00,08/27/10 00:00:00,,E6,NEW ISSUED UNDER EPR 2010,1,U,Sewage - not water company,ST9546727367,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9546727367,395325,127381,"('EPREP3723XX', 1)"
LYONS SEAFOODS,LYONS SEAFOODS,10,Making of Food Products/Dairy,CHITTERNE ROAD,CODFORD ST. MARY,WARMINSTER,WILTSHIRE,BA12 0LY,WILTSHIRE UA,ST9740041200,WYLYE,43/23-,SW,EA South West Region,051010,2,SOAKAWAY,3.0,Into land / infiltration system,12/17/12 00:00:00,12/17/12 00:00:00,,E7,VARIED UNDER EPR 2010,1,T,Trade,ST9740041200,1,TE,TRADE DISCHARGES - BOILER BLOWDOWN EFFLUENT,ST9740041200,397400,141200,"('051010', 2)"
