COMPANY_NAME,DISCHARGE_SITE_NAME,DISCHARGE_SITE_TYPE_CODE,DSI_TYPE_DESCRIPTION,ADD_OF_DISCHARGE_SITE_LINE_1,ADD_OF_DISCHARGE_SITE_LINE_2,ADD_OF_DISCHARGE_SITE_LINE_3,ADD_OF_DISCHARGE_SITE_LINE_4,ADD_OF_DISCHARGE_SITE_PCODE,DISTRICT_COUNCIL,DISCHARGE_NGR,CATC_NAME,CATCHMENT_CODE,EA_REGION,SOURCE,PERMIT_NUMBER,PERMIT_VERSION,RECEIVING_WATER,RECEIVING_ENVIRON_TYPE_CODE,REC_ENV_CODE_DESCRIPTION,ISSUED_DATE,EFFECTIVE_DATE,REVOCATION_DATE,STATUS_OF_PERMIT,STATUS_DESCRIPTION,OUTLET_NUMBER,OUTLET_TYPE_CODE,OUTLET_TYPE_DESCRIPTION,OUTLET_GRID_REF,EFFLUENT_NUMBER,EFFLUENT_TYPE,EFF_TYPE_DESCRIPTION,EFFLUENT_GRID_REF,DISCHARGE_EASTING,DISCHARGE_NORTHING,permit_pair
PHIPPS A MR,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
BOYD P MR,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
LEY P W MR,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
MR T H TODD,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
MR D GOLDSWORTHY,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
LOGAN P MR,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
"HOGG, MR JOHN",BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1202,1,DUDDO BURN TRIB,1.0,Freshwater river,06/06/97 00:00:00,06/06/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8717038690,387440,638590,"('210/1202', 1)"
MR T H TODD,BARELEES FARM AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),CORNHILL ON TWEED,,,NORTHUMBERLAND,TD12 4SF,NORTHUMBERLAND UA,NT8744038590,,,NE,EA North East Region,210/1201,1,DUDDO BURN TRIB,1.0,Freshwater river,06/18/97 00:00:00,06/18/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8717038690,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8690038600,387440,638590,"('210/1201', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,HOWTEL KEEPERS COTTAGE,A0,Domestic property (single) (incl farm house),MILFIELD WOOLER,-,WOOLER,NORTHUMBERLAND,,NORTHUMBERLAND UA,NT8980034100,,,NE,EA North East Region,210/1183,1,BOWMONT WATER TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8980034100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8980034100,389800,634100,"('210/1183', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,HOWTEL KEEPERS COTTAGE,A0,Domestic property (single) (incl farm house),MILFIELD WOOLER,-,WOOLER,NORTHUMBERLAND,,NORTHUMBERLAND UA,NT8980034100,,,NE,EA North East Region,210/1184,1,BOWMONT WATER TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8980034100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8980034100,389800,634100,"('210/1184', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,HOWTEL KEEPERS COTTAGE,A0,Domestic property (single) (incl farm house),MILFIELD WOOLER,-,WOOLER,NORTHUMBERLAND,,NORTHUMBERLAND UA,NT8980034100,,,NE,EA North East Region,210/1182,1,BOWMONT WATER TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT8980034100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT8980034100,389800,634100,"('210/1182', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,"KYPIE, FARMHOUSE",A6,WwTW (not water co) (not STP at a private premises),"MILFIELD, WOOLER",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9110034100,,,NE,EA North East Region,210/1181,1,TILL TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9110034100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9110034100,391100,634100,"('210/1181', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,"KYPIE, FARMHOUSE",A6,WwTW (not water co) (not STP at a private premises),"MILFIELD, WOOLER",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9110034100,,,NE,EA North East Region,210/1180,1,TILL TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9110034100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9110034100,391100,634100,"('210/1180', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,"ENCAMPMENT, FARMHOUSE",A6,WwTW (not water co) (not STP at a private premises),CROOKHAM,BERWICK UPON TWEED,NORTHUMBERLAND,,,NORTHUMBERLAND UA,NT9180036600,,,NE,EA North East Region,210/1169,1,PALLINS BURN TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9180036600,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9180036600,391800,636600,"('210/1169', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,"ENCAMPMENT, FARMHOUSE",A6,WwTW (not water co) (not STP at a private premises),CROOKHAM,BERWICK UPON TWEED,NORTHUMBERLAND,,,NORTHUMBERLAND UA,NT9180036600,,,NE,EA North East Region,210/1170,1,PALLINS BURN TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9180036600,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9180036600,391800,636600,"('210/1170', 1)"
LORD JOICEY,"SANDYFORD, HOUSE",A6,WwTW (not water co) (not STP at a private premises),CROOKHAM,BERWICK UPON TWEED,NORTHUMBERLAND,,,NORTHUMBERLAND UA,NT9210038100,,,NE,EA North East Region,210/1160,1,PALLINS BURN,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9210038100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9210038100,392100,638100,"('210/1160', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,"SANDYFORD, HOUSE",A6,WwTW (not water co) (not STP at a private premises),CROOKHAM,BERWICK UPON TWEED,NORTHUMBERLAND,,,NORTHUMBERLAND UA,NT9210038100,,,NE,EA North East Region,210/1161,1,PALLINS BURN,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9210038100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9210038100,392100,638100,"('210/1161', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,BLINKBONNY FARMHOUSE,A6,WwTW (not water co) (not STP at a private premises),"CROOKHAM, CORNHILL-UPON-TWEED",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9270036500,,,NE,EA North East Region,210/1171,1,PALLINS BURN TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9270036500,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9270036500,392700,636500,"('210/1171', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,BLINKBONNY FARMHOUSE,A6,WwTW (not water co) (not STP at a private premises),"CROOKHAM, CORNHILL-UPON-TWEED",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9270036500,,,NE,EA North East Region,210/1172,1,PALLINS BURN TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9270036500,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9270036500,392700,636500,"('210/1172', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,MOUNT PLEASANT FARMHOUSE,A6,WwTW (not water co) (not STP at a private premises),"CROOKHAM, BERWICK-UPON-TWEED",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9270037300,,,NE,EA North East Region,210/1167,1,PALLINS BURN TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9270037300,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9270037300,392700,637300,"('210/1167', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,MOUNT PLEASANT FARMHOUSE,A6,WwTW (not water co) (not STP at a private premises),"CROOKHAM, BERWICK-UPON-TWEED",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9270037300,,,NE,EA North East Region,210/1166,1,PALLINS BURN TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9270037300,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9270037300,392700,637300,"('210/1166', 1)"
LORD JOICEY,HEATHERSLAW HOUSE & COTTAGES,A6,WwTW (not water co) (not STP at a private premises),"HEATHERSLAW, BERWICK",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9330038100,,,NE,EA North East Region,210/1141,1,TILL,1.0,Freshwater river,02/24/97 00:00:00,02/24/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9330038100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9330038100,393300,638100,"('210/1141', 1)"
LORD JOICEY,HEATHERSLAW HOUSE & COTTAGES,A6,WwTW (not water co) (not STP at a private premises),"HEATHERSLAW, BERWICK",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9330038100,,,NE,EA North East Region,210/1143,1,PALLINS BURN TRIB,1.0,Freshwater river,02/24/97 00:00:00,02/24/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9330038100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9330038100,393300,638100,"('210/1143', 1)"
LORD JOICEY,HEATHERSLAW HOUSE & COTTAGES,A6,WwTW (not water co) (not STP at a private premises),"HEATHERSLAW, BERWICK",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9330038100,,,NE,EA North East Region,210/1142,1,TILL,1.0,Freshwater river,02/24/97 00:00:00,02/24/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9330038100,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9330038100,393300,638100,"('210/1142', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,BERRYHILL HOUSE,A0,Domestic property (single) (incl farm house),BERWICK UPON TWEED,NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9360040500,,,NE,EA North East Region,210/1157,1,DUDDOMILL BURN TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9360040500,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9360040500,393600,640500,"('210/1157', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,BERRYHILL HOUSE,A0,Domestic property (single) (incl farm house),BERWICK UPON TWEED,NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9360040500,,,NE,EA North East Region,210/1156,1,TILL TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9360040500,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9360040500,393600,640500,"('210/1156', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,"GATHERICK, COTTAGES",A6,WwTW (not water co) (not STP at a private premises),"DUDDO, BERWICK-UPON-TWEED",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9520041800,,,NE,EA North East Region,210/1159,1,DUDDOMILL BURN TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9520041800,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9520041800,395200,641800,"('210/1159', 1)"
ROBERT HENRY DICKINSON AND ELISABETH  LADY JOICEY,"GATHERICK, COTTAGES",A6,WwTW (not water co) (not STP at a private premises),"DUDDO, BERWICK-UPON-TWEED",NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9520041800,,,NE,EA North East Region,210/1158,1,DUDDOMILL BURN TRIB,1.0,Freshwater river,03/04/97 00:00:00,03/04/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9520041800,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9520041800,395200,641800,"('210/1158', 1)"
LORD JOICEY,"SLAINSFIELD, KENNELS",A6,WwTW (not water co) (not STP at a private premises),CORNHILL UPON TWEED,NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9590039300,,,NE,EA North East Region,210/1136,1,SHIPTONDEAN BURN TRIB,1.0,Freshwater river,02/24/97 00:00:00,02/24/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9590039300,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9590039300,395900,639300,"('210/1136', 1)"
LORD JOICEY,"SLAINSFIELD, KENNELS",A6,WwTW (not water co) (not STP at a private premises),CORNHILL UPON TWEED,NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NT9590039300,,,NE,EA North East Region,210/1137,1,SHIPTONDEAN BURN,1.0,Freshwater river,02/24/97 00:00:00,02/24/97 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,NT9590039300,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NT9590039300,395900,639300,"('210/1137', 1)"
NORTHUMBRIAN WATER LIMITED,PALACE STREET NORTH CSO 1,A3,Storm Tank/CSO on Sewerage Network (water company),4 PALACE STREET,.,BERWICK UPON TWEED,NORTHUMBERLAND,TD15 1HT,NORTHUMBERLAND UA,NT9994052460,,,NE,EA North East Region,210/1357,2,RIVER TWEED (SALINE ESTUARY),9.0,Estuary/Tidal River,03/26/18 00:00:00,04/01/18 00:00:00,,E7,VARIED UNDER EPR 2010,1,S,Sewage - water company,NT9993852464,1,SC,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,NT9996252536,399940,652460,"('210/1357', 2)"
NORTHUMBRIAN WATER LIMITED,PALACE STREET NORTH CSO 1,A3,Storm Tank/CSO on Sewerage Network (water company),4 PALACE STREET,.,BERWICK UPON TWEED,NORTHUMBERLAND,TD15 1HT,NORTHUMBERLAND UA,NT9994052460,,,NE,EA North East Region,210/1361,2,RIVER TWEED (SALINE ESTUARY),9.0,Estuary/Tidal River,03/26/18 00:00:00,04/01/18 00:00:00,,E7,VARIED UNDER EPR 2010,1,S,Sewage - water company,NT9993852464,1,SC,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,NT9999852623,399940,652460,"('210/1361', 2)"
MR B N WOOD,PRENDWICK FARM,A6,WwTW (not water co) (not STP at a private premises),WHITTINGHAM,NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NU0020012400,,,NE,EA North East Region,222/F/0248,1,PRENDWICK BURN,1.0,Freshwater river,11/04/67 00:00:00,11/04/67 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,U,Sewage - not water company,NU0020012400,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NU0020012400,400200,612400,"('222/F/0248', 1)"
MR B N WOOD,PRENDWICK FARM,A6,WwTW (not water co) (not STP at a private premises),WHITTINGHAM,NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NU0020012400,,,NE,EA North East Region,222/F/0249,1,PRENDWICK BURN,1.0,Freshwater river,11/04/63 00:00:00,11/04/63 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,U,Sewage - not water company,NU0040012490,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NU0040012490,400200,612400,"('222/F/0249', 1)"
SHELL UK LIMITED,"BEAL GARAGE, WEST MAINS",47,Shop incl Garden Centre/Retail Trade(not Motor Vehicle),BEAL,BERWICK UPON TWEED,NORTHUMBERLAND,,TD15 2PD,NORTHUMBERLAND UA,NU0556041980,,,NE,EA North East Region,221/0893,1,BEAL CAST,1.0,Freshwater river,12/19/91 00:00:00,12/19/91 00:00:00,,B6,TRANSFERRED FROM WATER ACT 1989,1,U,Sewage - not water company,NU0556041980,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NU0556041980,405560,641980,"('221/0893', 1)"
PENNY D S,"BEAL GARAGE, WEST MAINS",47,Shop incl Garden Centre/Retail Trade(not Motor Vehicle),BEAL,BERWICK UPON TWEED,NORTHUMBERLAND,,TD15 2PD,NORTHUMBERLAND UA,NU0556041980,,,NE,EA North East Region,221/0889,1,BEAL CAST,1.0,Freshwater river,12/19/91 00:00:00,12/19/91 00:00:00,,B6,TRANSFERRED FROM WATER ACT 1989,1,T,Trade,NU0556041980,1,TD,"TRADE DISCHARGES - SITE DRAINAGE (CONTAM SURFACE WATER, NOT WASTE SIT",NU0556041980,405560,641980,"('221/0889', 1)"
MS F J MCLEAN,TOD'S RUN,38,Waste Collection/Treatment/Disposal/Materials Recovery,SPINDLESTONE MILL,BELFORD,,NORTHUMBERLAND,,NORTHUMBERLAND UA,NU1492033530,,,NE,EA North East Region,221/0885,1,WAREN BURN,1.0,Freshwater river,08/22/90 00:00:00,08/22/90 00:00:00,,B6,TRANSFERRED FROM WATER ACT 1989,1,U,Sewage - not water company,NU1489033530,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NU1489033530,414920,633530,"('221/0885', 1)"
J N G MALLINSON,TOD'S RUN,38,Waste Collection/Treatment/Disposal/Materials Recovery,SPINDLESTONE MILL,BELFORD,,NORTHUMBERLAND,,NORTHUMBERLAND UA,NU1492033530,,,NE,EA North East Region,221/0884,1,WAREN BURN,1.0,Freshwater river,08/21/90 00:00:00,08/21/90 00:00:00,,B6,TRANSFERRED FROM WATER ACT 1989,1,U,Sewage - not water company,NU1489033490,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NU1489033490,414920,633530,"('221/0884', 1)"
MR R GOWLAND,BURNSIDE AND NOS 3 & 4 WEST COTTAGE,A6,WwTW (not water co) (not STP at a private premises),ALNWICK,NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NU1820024200,,,NE,EA North East Region,221/0932,1,LONG NANNY BURN,1.0,Freshwater river,08/26/93 00:00:00,08/26/93 00:00:00,,N1,"NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)",1,U,Sewage - not water company,NU1825024150,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NU1825024150,418200,624200,"('221/0932', 1)"
THE DOXFORD SETTLEMENT,BURNSIDE AND NOS 3 & 4 WEST COTTAGE,A6,WwTW (not water co) (not STP at a private premises),ALNWICK,NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NU1820024200,,,NE,EA North East Region,221/G/0264,1,LONG NANNY BURN,1.0,Freshwater river,03/19/63 00:00:00,03/19/63 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,U,Sewage - not water company,NU1820024200,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NU1820024200,418200,624200,"('221/G/0264', 1)"
MR P O R BRIDGEMAN,BRUNTON FARM FARMHOUSE AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),EMBLETON,NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NU2080024800,,,NE,EA North East Region,221/0895,1,BRUNTON BURN,1.0,Freshwater river,05/19/92 00:00:00,05/19/92 00:00:00,,N1,"NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)",1,U,Sewage - not water company,NU2092024910,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NU2092024910,420800,624800,"('221/0895', 1)"
MR P O R BRIDGEMAN,BRUNTON FARM FARMHOUSE AND COTTAGES,A6,WwTW (not water co) (not STP at a private premises),EMBLETON,NORTHUMBERLAND,,,,NORTHUMBERLAND UA,NU2080024800,,,NE,EA North East Region,221/C/0001,1,BRUNTON BURN,1.0,Freshwater river,11/19/65 00:00:00,11/19/65 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,U,Sewage - not water company,NU2087024780,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,NU2085024740,420800,624800,"('221/C/0001', 1)"
